0,HeartMode,0,,,,,,,
0,HeartTeleport,307,304,,,,,,
0,CombatZoneResizeInstant,293,250,321,350,,,,
1,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0.5,BoneStab,1,45,0.5,0.35,,,,
0.5,BoneStab,3,45,0.5,0.35,,,,
0,GasterBlaster,0,310,0,310,10,90,2,12
1.90,CombatZoneResize,193,250,421,350,0,,,
0.6,BoneStab,2,80,0.25,3,,,,
0,BoneStab,0,80,0.25,3,,,,
1.8,EndAttack,,,,,,,,
