0,HeartMode,1,,,,,,
0,HeartTeleport,200,315,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,
,,,,,,,,
0,PlatformRepeat,0,345,55,0,225,50,188
0,PlatformRepeat,0,260,55,0,225,50,188
0,BoneVRepeat,529,355,24,2,155,555,10
0,BoneVRepeat,529,225,24,2,155,555,10
0,HeartMaxFallSpeed,333,,,,,,
2.7,Sound,Warning,,,,,,
0.3,SansSlam,3,,,,,,
0,SansBody,HandUp,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,1,,,,,,
0,SansBody,HandDown,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,3,,,,,,
0,SansBody,HandUp,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,1,,,,,,
0,SansBody,HandDown,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,3,,,,,,
0,SansBody,HandUp,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,1,,,,,,
0,SansBody,HandDown,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,3,,,,,,
0,SansBody,HandUp,,,,,,
2,Sound,Warning,,,,,,
0.3,SansSlam,1,,,,,,
0,SansBody,HandDown,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,EndAttack,,,,,,,
