0,HeartMode,1,,,,,,,
0,HeartTeleport,200,315,,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,,
,,,,,,,,,
0,Platform,200,325,100,2,155,0,,
0,PlatformRepeat,0,325,40,0,190,50,165,
0,BoneVRepeat,529,355,135,2,155,555,10,
,,,,,,,,,
,,,,,,,,,
0,SET,Loop,30,,,,,,
0,JMPZ,37,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,27,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,29,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,31,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,33,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.02333
0.69,JMPABS,11,,,,,,,
,,,,,,,,,
2,EndAttack,,,,,,,,
