0,HeartMode,1,,,,,,,
0,HeartTeleport,310,304,,,,,,
0,CombatZoneResizeInstant,119,225,519,379,,,,
0,BoneVRepeat,100,344,35,0,167,15,145,
0,BoneVRepeat,100,200,122,0,165,15,145,
0,BoneVRepeat,529,344,35,2,167,15,145,
0,BoneVRepeat,529,200,122,2,165,15,145,
4,GasterBlaster,1,310,0,500,100,135,0.2,2
0,GasterBlaster,1,310,0,140,100,45,0.2,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4,GasterBlaster,3,310,0,310,100,90,0.3,1
0.3,GasterBlaster,0,310,0,390,100,90,0.2,1
0,GasterBlaster,0,310,0,230,100,90,0.2,1
,,,,,,,,,
0,BoneStab,3,95,1,4.9,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5,BoneStab,1,50,1.5,0.5,,,,
3,EndAttack,,,,,,,,
