0,HeartMode,1,,,,,,,
0,HeartTeleport,200,315,,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,,
,,,,,,,,,
0,Platform,200,325,10,2,100,0,,
0,PlatformRepeat,0,325,30,0,185,12,155,
0,BoneVRepeat,529,355,135,2,155,555,10,
0,BoneVRepeat,91,355,135,0,155,555,10,
,,,,,,,,,
0,SET,Loop,12,,,,,,
0,JMPZ,37,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,27,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,29,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,31,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,33,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.0193
0.8,JMPABS,11,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.6,PlatformRepeat,700,325,30,2,185,15,155,
0,SET,Loop,12,,,,,,
0,JMPZ,70,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,60,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,62,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,64,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,66,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.04333
1,JMPABS,44,,,,,,,
,,,,,,,,,
,,,,,,,,,
2.3,EndAttack,,,,,,,,
