0,HeartMode,1,,,,,,
0,HeartTeleport,200,315,,,,,
0,CombatZoneResizeInstant,100,225,520,379,,,
,,,,,,,,
0,Platform,200,325,10,2,100,0,
0,PlatformRepeat,0,325,55,0,335,50,195
0,BoneVRepeat,529,355,135,2,155,555,10
0,BoneVRepeat,91,355,135,0,155,555,10
0,BoneStab,0,50,0,50,,,
4,BoneStab,0,80,5,50,,,
5,BoneStab,0,110,6,50,,,
6,BoneStab,0,130,3,50,,,
3,BoneStab,0,149,1,50,,,
0,BoneStab,2,19,1,50,,,
1,BoneStab,0,184,0,50,,,
3,BoneStab,0,230,0,50,,,
0,SansHead,NoEyes,,,,,,
1,BoneStab,3,31,0,50,,,
,,,,,,,,
2,EndAttack,,,,,,,
